country_v117,all_waterbodies,all_twh,l1_waterbodies,l1_twh,core_l2_lower_waterbodies,core_l2_lower_twh,core_l2_upper_waterbodies,core_l2_upper_twh,conservative_l2_lower_waterbodies,conservative_l2_lower_twh,conservative_l2_upper_waterbodies,conservative_l2_upper_twh,core_l3_lower_waterbodies,core_l3_lower_twh,core_l3_upper_waterbodies,core_l3_upper_twh,conservative_l3_lower_waterbodies,conservative_l3_lower_twh,conservative_l3_upper_waterbodies,conservative_l3_upper_twh
Greece,86,22.661944367615444,86,22.661944367615444,26,7.180767972438045,31,7.287697340092892,5,3.625416963418919,8,3.6871962228775756,18,6.5470033794061955,30,7.252303432630005,3,3.5372886408906346,8,3.6871962228775756
Greenland,2,2.1746755575258687,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Guatemala,41,10.445152079060827,41,10.445152079060827,13,0.9833150813844985,14,0.9854295603509606,10,0.7385602146008713,11,0.7406746935673334,0,0.0,1,0.23001237329565374,0,0.0,1,0.23001237329565374
Guernsey,1,0.0021664577285773726,1,0.0021664577285773726,0,0.0,1,0.0021664577285773726,0,0.0,1,0.0021664577285773726,0,0.0,1,0.0021664577285773726,0,0.0,1,0.0021664577285773726
Guinea,5,4.32830329184111,5,4.32830329184111,4,1.4130900659409755,4,1.4130900659409755,2,0.1488745050443999,2,0.1488745050443999,1,0.0407700463550125,3,1.304985607251588,1,0.0407700463550125,1,0.0407700463550125
Guinea-Bissau,5,0.1650728723454021,5,0.1650728723454021,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Guyana,18,0.9533778597902514,18,0.9533778597902514,4,0.2307725581058616,4,0.2307725581058616,4,0.2307725581058616,4,0.2307725581058616,0,0.0,0,0.0,0,0.0,0,0.0
Haiti,12,3.2150359559425756,12,3.2150359559425756,9,0.6699825546050587,10,1.2304896735316901,4,0.19983267761955015,4,0.19983267761955015,2,0.1193902286175658,7,1.0647691489394435,2,0.1193902286175658,3,0.17353460080171013
Honduras,60,15.383531367793273,60,15.383531367793273,6,9.12465759286544,6,9.12465759286544,3,0.07455053069099456,3,0.07455053069099456,0,0.0,2,7.195868564787774,0,0.0,0,0.0
Hong Kong S.A.R.,1,0.20477600271432952,1,0.20477600271432952,0,0.0,1,0.20477600271432952,0,0.0,0,0.0,0,0.0,1,0.20477600271432952,0,0.0,0,0.0
