protection,endpoint,arm,strength,missing_case,waterbodies,L1_TWh,L2_TWh,L3_TWh,L2_fraction_L1,L3_fraction_L1,environmental_candidates,L3_positive_waterbodies,cost_excluded_after_access,model,experiment,period,ice_error_case
core,upper,codex_primary,0.75,unadjusted,199976,15929.814759277977,4411.203011340375,1381.7235586501388,0.27691489687732657,0.08673820628362196,56459,13951,6491,MPI-ESM1-2-LR,historical,1995_2014,central
core,upper,codex_primary,0.75,restricted,199976,15929.814759277977,4246.2757958244265,1253.3310123611122,0.2665615300611876,0.07867831681037826,56459,13852,6590,MPI-ESM1-2-LR,historical,1995_2014,central
core,upper,no_ecology,0.5,unadjusted,199976,15929.814759277977,7374.3711595872455,2549.026935926487,0.46292887086412615,0.1600161065552794,56459,14451,5991,MPI-ESM1-2-LR,historical,1995_2014,central
core,upper,no_ecology,0.5,restricted,199976,15929.814759277977,7374.3711595872455,2467.945161557432,0.46292887086412615,0.15492616824812924,56459,14396,6046,MPI-ESM1-2-LR,historical,1995_2014,central
core,upper,no_maintenance,0.5,unadjusted,199976,15929.814759277977,5398.925727422667,1947.4803360850362,0.33891955487292647,0.12225379676501061,56459,15140,5302,MPI-ESM1-2-LR,historical,1995_2014,central
core,upper,no_maintenance,0.5,restricted,199976,15929.814759277977,5288.974250412033,1843.3593951741807,0.3320173103288338,0.1157175662761901,56459,15140,5302,MPI-ESM1-2-LR,historical,1995_2014,central
core,upper,no_institutions,0.5,unadjusted,199976,15929.814759277977,5398.925727422667,2371.7278723536706,0.33891955487292647,0.1488860924118599,56459,14451,5991,MPI-ESM1-2-LR,historical,1995_2014,central
core,upper,no_institutions,0.5,restricted,199976,15929.814759277977,5288.974250412033,2308.7566449082774,0.3320173103288338,0.14493305037107176,56459,14396,6046,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,lower,codex_primary,0.0,unadjusted,199976,15929.814759277977,4486.606725827579,909.2511905874935,0.2816483928800523,0.05707857902477615,36828,5419,2514,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,lower,codex_primary,0.0,restricted,199976,15929.814759277977,4486.606725827579,909.2511905874935,0.2816483928800523,0.05707857902477615,36828,5419,2514,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,lower,codex_primary,0.25,unadjusted,199976,15929.814759277977,3879.848993810629,713.1343725393375,0.24355895234443292,0.0447672733999614,36828,5281,2652,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,lower,codex_primary,0.25,restricted,199976,15929.814759277977,3844.7879140958935,695.7603847907501,0.2413579801269553,0.04367661490762279,36828,5264,2669,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,lower,codex_primary,0.5,unadjusted,199976,15929.814759277977,3273.0912617936788,539.2737076754981,0.20546951180881357,0.033853106004350104,36828,5121,2812,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,lower,codex_primary,0.5,restricted,199976,15929.814759277977,3202.9691023642085,509.5918249414932,0.2010675673738584,0.03198981486239144,36828,5092,2841,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,lower,codex_primary,0.75,unadjusted,199976,15929.814759277977,2666.333529776729,386.2753458041899,0.1673800712731942,0.024248577377788537,36828,4908,3025,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,lower,codex_primary,0.75,restricted,199976,15929.814759277977,2561.1502906325245,350.3822816959308,0.16077715462076153,0.02199537703298516,36828,4852,3081,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,lower,no_ecology,0.5,unadjusted,199976,15929.814759277977,4486.606725827579,719.2116795947397,0.2816483928800523,0.045148778593037335,36828,5121,2812,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,lower,no_ecology,0.5,restricted,199976,15929.814759277977,4486.606725827579,696.3639549094893,0.2816483928800523,0.0437145042445586,36828,5092,2841,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,lower,no_maintenance,0.5,unadjusted,199976,15929.814759277977,3273.0912617936788,552.9017607699353,0.20546951180881357,0.03470861206643408,36828,5419,2514,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,lower,no_maintenance,0.5,restricted,199976,15929.814759277977,3202.9691023642085,523.9963463388333,0.2010675673738584,0.03289406400872571,36828,5419,2514,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,lower,no_institutions,0.5,unadjusted,199976,15929.814759277977,3273.0912617936788,665.3325065683998,0.20546951180881357,0.04176649362359291,36828,5121,2812,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,lower,no_institutions,0.5,restricted,199976,15929.814759277977,3202.9691023642085,646.031395603503,0.2010675673738584,0.040554859260195475,36828,5092,2841,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,upper,codex_primary,0.0,unadjusted,199976,15929.814759277977,5430.520049582034,2279.7702382266093,0.3409029001055486,0.143113417994946,46972,12627,3912,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,upper,codex_primary,0.0,restricted,199976,15929.814759277977,5430.520049582034,2279.7702382266093,0.3409029001055486,0.143113417994946,46972,12627,3912,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,upper,codex_primary,0.25,unadjusted,199976,15929.814759277977,4701.0445623239275,1794.3689552306598,0.29510980719885055,0.11264217333008021,46972,12358,4181,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,upper,codex_primary,0.25,restricted,199976,15929.814759277977,4663.200470314667,1749.7082832419292,0.2927341303575854,0.1098385831651212,46972,12336,4203,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,upper,codex_primary,0.5,unadjusted,199976,15929.814759277977,3971.569075065822,1368.2139412549761,0.24931671429215252,0.08589013506626557,46972,12043,4496,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,upper,codex_primary,0.5,restricted,199976,15929.814759277977,3895.8808910473017,1291.6186509317974,0.24456536060962228,0.08108183745071625,46972,12001,4538,MPI-ESM1-2-LR,historical,1995_2014,central
conservative,upper,codex_primary,0.75,unadjusted,199976,15929.814759277977,3242.0935878077166,994.1192146934708,0.20352362138545455,0.062406200556379195,46972,11623,4916,MPI-ESM1-2-LR,historical,1995_2014,central
